week_start,region_id,metric_name,calculation_method,unit,lakehouse_value,bi_report_value,ops_platform_value,absolute_delta,within_tolerance,suspected_driver
2026-02-02,REG01,technician_utilization,average,percent,88.34,88.73,88.6,0.38,yes,timezone boundary
2026-02-02,REG01,cost_per_work_order,weighted average,dollars,134.05,135.59,134.54,1.54,no,duplicate appointment event
2026-02-09,REG01,completed_orders,sum,orders,6386,6386.01,6385.96,0.01,yes,late arriving work order status
2026-02-09,REG01,first_visit_fix_rate,weighted average,percent,67.08,67.03,67.22,0.05,yes,duplicate appointment event
2026-02-09,REG01,repeat_visit_rate,weighted average,percent,12.81,12.67,12.8,0.14,yes,late arriving work order status
2026-02-09,REG01,on_time_arrival_rate,weighted average,percent,84.49,86.54,85.21,2.05,no,late arriving work order status
2026-02-09,REG01,technician_utilization,average,percent,89.14,89.14,89.21,0.01,yes,technician reassignment
2026-02-09,REG01,cost_per_work_order,weighted average,dollars,136.22,135.43,135.57,0.78,yes,technician reassignment
2026-02-16,REG01,completed_orders,sum,orders,6191,6182.52,6186.29,8.48,no,late arriving work order status
2026-02-16,REG01,first_visit_fix_rate,weighted average,percent,67.52,69.62,68.22,2.1,no,missing cancellation filter
2026-02-16,REG01,repeat_visit_rate,weighted average,percent,13.58,15.18,14.82,1.6,no,missing cancellation filter
2026-02-16,REG01,on_time_arrival_rate,weighted average,percent,86.43,84.42,85.47,2.01,no,timezone boundary
2026-02-16,REG01,technician_utilization,average,percent,86.79,86.84,86.67,0.05,yes,missing cancellation filter
2026-02-16,REG01,cost_per_work_order,weighted average,dollars,134.83,135.62,135.39,0.79,yes,timezone boundary
2026-02-23,REG01,completed_orders,sum,orders,6059,6058.98,6059.08,0.02,yes,timezone boundary
2026-02-23,REG01,first_visit_fix_rate,weighted average,percent,65.62,64.01,64.62,1.6,no,technician reassignment
2026-02-23,REG01,repeat_visit_rate,weighted average,percent,13.58,12.19,12.75,1.39,no,missing cancellation filter
2026-02-23,REG01,on_time_arrival_rate,weighted average,percent,83.65,83.67,83.59,0.02,yes,technician reassignment
2026-02-23,REG01,technician_utilization,average,percent,86.53,86.46,86.44,0.07,yes,missing cancellation filter
2026-02-23,REG01,cost_per_work_order,weighted average,dollars,128.64,125.16,127.92,3.48,no,missing cancellation filter
2026-03-02,REG01,completed_orders,sum,orders,6379,6378.9,6378.82,0.1,yes,duplicate appointment event
2026-03-02,REG01,first_visit_fix_rate,weighted average,percent,64.47,65.0,64.64,0.53,yes,missing cancellation filter
2026-03-02,REG01,repeat_visit_rate,weighted average,percent,13.91,15.35,14.87,1.44,no,late arriving work order status
2026-03-02,REG01,on_time_arrival_rate,weighted average,percent,83.54,83.46,83.58,0.08,yes,duplicate appointment event
2026-03-02,REG01,technician_utilization,average,percent,92.47,93.09,92.51,0.62,yes,technician reassignment
2026-03-02,REG01,cost_per_work_order,weighted average,dollars,140.21,143.05,141.49,2.84,no,technician reassignment
2026-03-09,REG01,completed_orders,sum,orders,6690,6685.76,6688.05,4.24,no,missing cancellation filter
2026-03-09,REG01,first_visit_fix_rate,weighted average,percent,64.79,65.28,64.62,0.48,yes,timezone boundary
2026-03-09,REG01,repeat_visit_rate,weighted average,percent,14.51,14.35,14.57,0.16,yes,duplicate appointment event
2026-03-09,REG01,on_time_arrival_rate,weighted average,percent,86.02,86.05,86.0,0.03,yes,missing cancellation filter
2026-03-09,REG01,technician_utilization,average,percent,91.24,91.75,91.34,0.5,yes,late arriving work order status
2026-03-09,REG01,cost_per_work_order,weighted average,dollars,138.5,139.46,138.82,0.95,yes,late arriving work order status
2026-03-16,REG01,completed_orders,sum,orders,6366,6365.94,6366.03,0.06,yes,technician reassignment
2026-03-16,REG01,first_visit_fix_rate,weighted average,percent,67.87,69.17,68.6,1.31,no,timezone boundary
2026-03-16,REG01,repeat_visit_rate,weighted average,percent,13.54,15.08,14.66,1.55,no,technician reassignment
2026-03-16,REG01,on_time_arrival_rate,weighted average,percent,83.99,84.29,84.15,0.31,yes,duplicate appointment event
2026-03-16,REG01,technician_utilization,average,percent,90.3,90.2,90.3,0.1,yes,late arriving work order status
2026-03-16,REG01,cost_per_work_order,weighted average,dollars,134.08,133.99,134.05,0.09,yes,missing cancellation filter
2026-03-23,REG01,completed_orders,sum,orders,6603,6608.33,6604.64,5.33,no,technician reassignment
2026-03-23,REG01,first_visit_fix_rate,weighted average,percent,66.21,67.36,66.66,1.16,no,duplicate appointment event
2026-03-23,REG01,repeat_visit_rate,weighted average,percent,13.83,13.83,13.8,0.0,yes,duplicate appointment event
2026-03-23,REG01,on_time_arrival_rate,weighted average,percent,85.97,85.97,85.94,0.0,yes,timezone boundary
2026-03-23,REG01,technician_utilization,average,percent,92.63,92.61,92.68,0.02,yes,duplicate appointment event
2026-03-23,REG01,cost_per_work_order,weighted average,dollars,142.81,140.59,141.38,2.22,no,timezone boundary
2026-03-30,REG01,completed_orders,sum,orders,6057,6057.03,6057.26,0.03,yes,technician reassignment
2026-03-30,REG01,first_visit_fix_rate,weighted average,percent,66.42,66.59,66.63,0.17,yes,technician reassignment
2026-03-30,REG01,repeat_visit_rate,weighted average,percent,13.32,11.67,12.78,1.64,no,technician reassignment
2026-03-30,REG01,on_time_arrival_rate,weighted average,percent,84.9,84.93,84.98,0.03,yes,duplicate appointment event
2026-03-30,REG01,technician_utilization,average,percent,86.9,87.69,87.36,0.79,no,duplicate appointment event
2026-03-30,REG01,cost_per_work_order,weighted average,dollars,130.0,130.34,130.35,0.34,yes,duplicate appointment event
2026-04-06,REG01,completed_orders,sum,orders,6399,6394.24,6397.19,4.76,no,late arriving work order status
2026-04-06,REG01,first_visit_fix_rate,weighted average,percent,68.85,68.79,68.91,0.06,yes,technician reassignment
2026-04-06,REG01,repeat_visit_rate,weighted average,percent,13.97,14.31,14.23,0.34,yes,late arriving work order status
2026-04-06,REG01,on_time_arrival_rate,weighted average,percent,85.77,87.42,86.94,1.65,no,late arriving work order status
2026-04-06,REG01,technician_utilization,average,percent,90.1,90.75,90.23,0.65,yes,technician reassignment
2026-04-06,REG01,cost_per_work_order,weighted average,dollars,141.76,142.57,142.4,0.81,yes,missing cancellation filter
2026-04-13,REG01,completed_orders,sum,orders,6464,6456.76,6461.53,7.24,no,technician reassignment
2026-04-13,REG01,first_visit_fix_rate,weighted average,percent,67.59,67.58,67.77,0.01,yes,technician reassignment
2026-04-13,REG01,repeat_visit_rate,weighted average,percent,13.35,13.28,13.46,0.06,yes,duplicate appointment event
2026-04-13,REG01,on_time_arrival_rate,weighted average,percent,86.14,86.1,86.06,0.04,yes,late arriving work order status
2026-04-13,REG01,technician_utilization,average,percent,89.37,89.84,89.65,0.47,yes,timezone boundary
2026-04-13,REG01,cost_per_work_order,weighted average,dollars,134.37,132.28,133.24,2.09,no,technician reassignment
2026-04-20,REG01,completed_orders,sum,orders,5903,5905.42,5903.78,2.42,yes,technician reassignment
2026-04-20,REG01,first_visit_fix_rate,weighted average,percent,67.21,67.29,67.06,0.09,yes,technician reassignment
2026-04-20,REG01,repeat_visit_rate,weighted average,percent,13.8,12.86,13.24,0.94,no,missing cancellation filter
2026-04-20,REG01,on_time_arrival_rate,weighted average,percent,85.98,85.99,85.96,0.01,yes,technician reassignment
2026-04-20,REG01,technician_utilization,average,percent,85.34,85.38,85.22,0.04,yes,timezone boundary
2026-04-20,REG01,cost_per_work_order,weighted average,dollars,132.42,132.52,132.43,0.09,yes,technician reassignment
2026-04-27,REG01,completed_orders,sum,orders,6464,6464.0,6463.97,0.0,yes,duplicate appointment event
2026-04-27,REG01,first_visit_fix_rate,weighted average,percent,69.33,68.61,68.86,0.72,yes,technician reassignment
2026-04-27,REG01,repeat_visit_rate,weighted average,percent,13.53,13.46,13.65,0.06,yes,missing cancellation filter
2026-04-27,REG01,on_time_arrival_rate,weighted average,percent,86.17,86.12,86.27,0.05,yes,duplicate appointment event
2026-04-27,REG01,technician_utilization,average,percent,90.6,90.93,90.83,0.33,yes,late arriving work order status
2026-04-27,REG01,cost_per_work_order,weighted average,dollars,140.42,139.81,140.15,0.61,yes,duplicate appointment event
2026-05-04,REG01,completed_orders,sum,orders,6002,6001.94,6001.99,0.06,yes,missing cancellation filter
2026-05-04,REG01,first_visit_fix_rate,weighted average,percent,66.74,68.29,67.58,1.55,no,timezone boundary
2026-05-04,REG01,repeat_visit_rate,weighted average,percent,14.63,14.68,14.54,0.05,yes,timezone boundary
2026-05-04,REG01,on_time_arrival_rate,weighted average,percent,85.09,83.59,84.45,1.5,no,technician reassignment
2026-05-04,REG01,technician_utilization,average,percent,84.89,84.9,85.12,0.01,yes,late arriving work order status
2026-05-04,REG01,cost_per_work_order,weighted average,dollars,137.19,136.1,136.77,1.09,yes,timezone boundary
2026-01-05,REG02,completed_orders,sum,orders,3176,3167.01,3173.23,8.99,no,technician reassignment
2026-01-05,REG02,first_visit_fix_rate,weighted average,percent,74.46,72.5,74.1,1.96,no,late arriving work order status
2026-01-05,REG02,repeat_visit_rate,weighted average,percent,14.24,14.77,14.37,0.53,yes,late arriving work order status
2026-01-05,REG02,on_time_arrival_rate,weighted average,percent,85.08,83.69,83.91,1.39,no,missing cancellation filter
2026-01-05,REG02,technician_utilization,average,percent,86.77,85.98,86.3,0.79,no,duplicate appointment event
2026-01-05,REG02,cost_per_work_order,weighted average,dollars,127.3,127.25,127.35,0.06,yes,technician reassignment
2026-01-12,REG02,completed_orders,sum,orders,3523,3526.82,3524.15,3.82,yes,duplicate appointment event
2026-01-12,REG02,first_visit_fix_rate,weighted average,percent,74.97,76.29,75.32,1.32,no,timezone boundary
2026-01-12,REG02,repeat_visit_rate,weighted average,percent,12.44,11.11,12.04,1.33,no,missing cancellation filter
2026-01-12,REG02,on_time_arrival_rate,weighted average,percent,84.15,86.28,85.23,2.13,no,duplicate appointment event
2026-01-12,REG02,technician_utilization,average,percent,95.77,96.96,95.79,1.19,no,duplicate appointment event
2026-01-12,REG02,cost_per_work_order,weighted average,dollars,138.49,138.46,138.43,0.02,yes,duplicate appointment event
2026-01-19,REG02,completed_orders,sum,orders,3401,3400.97,3400.97,0.03,yes,late arriving work order status
2026-01-19,REG02,first_visit_fix_rate,weighted average,percent,75.08,76.18,76.16,1.09,no,duplicate appointment event
2026-01-19,REG02,repeat_visit_rate,weighted average,percent,13.73,16.05,14.36,2.32,no,duplicate appointment event
2026-01-19,REG02,on_time_arrival_rate,weighted average,percent,86.43,86.93,86.82,0.49,yes,missing cancellation filter
2026-01-19,REG02,technician_utilization,average,percent,91.47,91.46,91.36,0.02,yes,missing cancellation filter
2026-01-19,REG02,cost_per_work_order,weighted average,dollars,137.59,135.16,135.9,2.43,no,timezone boundary
2026-01-26,REG02,completed_orders,sum,orders,3089,3089.06,3088.91,0.06,yes,missing cancellation filter
2026-01-26,REG02,first_visit_fix_rate,weighted average,percent,75.34,73.88,74.85,1.46,no,missing cancellation filter
2026-01-26,REG02,repeat_visit_rate,weighted average,percent,14.04,14.78,14.26,0.74,yes,duplicate appointment event
2026-01-26,REG02,on_time_arrival_rate,weighted average,percent,84.37,83.4,83.73,0.97,no,duplicate appointment event
2026-01-26,REG02,technician_utilization,average,percent,85.0,84.97,85.24,0.03,yes,late arriving work order status
2026-01-26,REG02,cost_per_work_order,weighted average,dollars,130.51,129.19,129.98,1.32,no,duplicate appointment event
2026-02-02,REG02,completed_orders,sum,orders,3333,3338.79,3337.35,5.79,no,duplicate appointment event
2026-02-02,REG02,first_visit_fix_rate,weighted average,percent,72.98,71.39,72.42,1.59,no,late arriving work order status
2026-02-02,REG02,repeat_visit_rate,weighted average,percent,12.8,14.18,13.15,1.38,no,missing cancellation filter
2026-02-02,REG02,on_time_arrival_rate,weighted average,percent,83.46,82.65,83.27,0.81,no,technician reassignment
2026-02-02,REG02,technician_utilization,average,percent,93.19,91.56,92.87,1.63,no,missing cancellation filter
2026-02-02,REG02,cost_per_work_order,weighted average,dollars,139.14,137.01,137.82,2.13,no,missing cancellation filter
2026-02-09,REG02,completed_orders,sum,orders,3319,3322.3,3320.06,3.3,yes,late arriving work order status
2026-02-09,REG02,first_visit_fix_rate,weighted average,percent,74.4,74.96,74.31,0.57,yes,timezone boundary
2026-02-09,REG02,repeat_visit_rate,weighted average,percent,13.84,14.8,14.27,0.96,no,duplicate appointment event
2026-02-09,REG02,on_time_arrival_rate,weighted average,percent,86.68,85.98,86.26,0.7,yes,missing cancellation filter
2026-02-09,REG02,technician_utilization,average,percent,90.69,89.73,89.99,0.96,no,technician reassignment
2026-02-09,REG02,cost_per_work_order,weighted average,dollars,140.42,140.4,140.37,0.02,yes,technician reassignment
2026-02-16,REG02,completed_orders,sum,orders,3360,3366.64,3363.97,6.64,no,technician reassignment
2026-02-16,REG02,first_visit_fix_rate,weighted average,percent,73.14,73.11,73.02,0.02,yes,timezone boundary
2026-02-16,REG02,repeat_visit_rate,weighted average,percent,14.88,15.31,15.09,0.43,yes,timezone boundary
2026-02-16,REG02,on_time_arrival_rate,weighted average,percent,85.87,86.32,86.19,0.44,yes,timezone boundary
2026-02-16,REG02,technician_utilization,average,percent,91.66,90.34,91.05,1.31,no,technician reassignment
2026-02-16,REG02,cost_per_work_order,weighted average,dollars,129.79,131.21,130.8,1.42,no,missing cancellation filter
2026-02-23,REG02,completed_orders,sum,orders,3431,3431.01,3431.14,0.01,yes,late arriving work order status
2026-02-23,REG02,first_visit_fix_rate,weighted average,percent,74.47,72.81,73.65,1.66,no,duplicate appointment event
2026-02-23,REG02,repeat_visit_rate,weighted average,percent,14.08,13.85,14.07,0.24,yes,missing cancellation filter
2026-02-23,REG02,on_time_arrival_rate,weighted average,percent,86.52,88.55,87.16,2.03,no,timezone boundary
2026-02-23,REG02,technician_utilization,average,percent,92.19,92.0,92.46,0.18,yes,late arriving work order status
2026-02-23,REG02,cost_per_work_order,weighted average,dollars,134.3,133.2,133.84,1.11,yes,duplicate appointment event
2026-03-02,REG02,completed_orders,sum,orders,3420,3420.01,3419.96,0.01,yes,missing cancellation filter
2026-03-02,REG02,first_visit_fix_rate,weighted average,percent,72.7,74.42,73.32,1.72,no,late arriving work order status
2026-03-02,REG02,repeat_visit_rate,weighted average,percent,14.63,13.91,14.46,0.72,yes,technician reassignment
2026-03-02,REG02,on_time_arrival_rate,weighted average,percent,85.59,84.75,85.17,0.84,no,technician reassignment
2026-03-02,REG02,technician_utilization,average,percent,89.29,89.86,89.37,0.57,yes,duplicate appointment event
2026-03-02,REG02,cost_per_work_order,weighted average,dollars,138.31,141.95,138.81,3.64,no,timezone boundary
2026-03-09,REG02,completed_orders,sum,orders,3513,3509.41,3510.38,3.59,yes,duplicate appointment event
2026-03-09,REG02,first_visit_fix_rate,weighted average,percent,72.11,71.91,72.12,0.2,yes,missing cancellation filter
2026-03-09,REG02,repeat_visit_rate,weighted average,percent,13.56,15.89,14.37,2.33,no,duplicate appointment event
2026-03-09,REG02,on_time_arrival_rate,weighted average,percent,86.8,86.83,86.94,0.03,yes,technician reassignment
2026-03-09,REG02,technician_utilization,average,percent,94.04,95.21,94.41,1.17,no,technician reassignment
2026-03-09,REG02,cost_per_work_order,weighted average,dollars,141.88,142.02,141.95,0.14,yes,duplicate appointment event
2026-03-16,REG02,completed_orders,sum,orders,3541,3536.76,3540.02,4.24,no,duplicate appointment event
2026-03-16,REG02,first_visit_fix_rate,weighted average,percent,74.19,74.82,74.64,0.64,yes,timezone boundary
2026-03-16,REG02,repeat_visit_rate,weighted average,percent,14.14,13.95,14.19,0.19,yes,missing cancellation filter
2026-03-16,REG02,on_time_arrival_rate,weighted average,percent,85.55,87.27,86.46,1.71,no,timezone boundary
2026-03-16,REG02,technician_utilization,average,percent,93.17,91.72,92.86,1.45,no,technician reassignment
2026-03-16,REG02,cost_per_work_order,weighted average,dollars,138.27,140.61,138.36,2.34,no,timezone boundary
2026-03-23,REG02,completed_orders,sum,orders,3393,3399.31,3395.59,6.31,no,duplicate appointment event
2026-03-23,REG02,first_visit_fix_rate,weighted average,percent,72.11,73.13,72.43,1.02,no,technician reassignment
2026-03-23,REG02,repeat_visit_rate,weighted average,percent,13.82,13.15,13.24,0.67,yes,duplicate appointment event
2026-03-23,REG02,on_time_arrival_rate,weighted average,percent,86.41,87.56,86.96,1.15,no,timezone boundary
2026-03-23,REG02,technician_utilization,average,percent,90.01,90.03,89.96,0.02,yes,missing cancellation filter
2026-03-23,REG02,cost_per_work_order,weighted average,dollars,134.5,135.72,135.28,1.22,no,duplicate appointment event
2026-03-30,REG02,completed_orders,sum,orders,3493,3492.98,3493.05,0.02,yes,timezone boundary
2026-03-30,REG02,first_visit_fix_rate,weighted average,percent,73.17,73.31,73.14,0.13,yes,missing cancellation filter
2026-03-30,REG02,repeat_visit_rate,weighted average,percent,13.81,14.65,14.19,0.83,no,late arriving work order status
2026-03-30,REG02,on_time_arrival_rate,weighted average,percent,84.28,85.03,84.7,0.75,no,technician reassignment
2026-03-30,REG02,technician_utilization,average,percent,90.76,91.75,91.53,0.99,no,late arriving work order status
2026-03-30,REG02,cost_per_work_order,weighted average,dollars,135.09,135.13,135.13,0.05,yes,timezone boundary
2026-04-06,REG02,completed_orders,sum,orders,3386,3385.95,3385.98,0.05,yes,late arriving work order status
2026-04-06,REG02,first_visit_fix_rate,weighted average,percent,74.1,74.03,74.16,0.07,yes,technician reassignment
2026-04-06,REG02,repeat_visit_rate,weighted average,percent,16.78,16.81,16.46,0.03,yes,missing cancellation filter
2026-04-06,REG02,on_time_arrival_rate,weighted average,percent,85.33,83.59,84.18,1.74,no,missing cancellation filter
2026-04-06,REG02,technician_utilization,average,percent,92.99,93.05,93.02,0.06,yes,timezone boundary
2026-04-06,REG02,cost_per_work_order,weighted average,dollars,139.27,139.26,139.36,0.01,yes,late arriving work order status
2026-04-13,REG02,completed_orders,sum,orders,3227,3227.0,3227.12,0.0,yes,duplicate appointment event
2026-04-13,REG02,first_visit_fix_rate,weighted average,percent,75.29,73.74,74.33,1.55,no,technician reassignment
2026-04-13,REG02,repeat_visit_rate,weighted average,percent,14.05,13.26,13.73,0.79,no,missing cancellation filter
2026-04-13,REG02,on_time_arrival_rate,weighted average,percent,86.04,88.1,87.18,2.06,no,timezone boundary
2026-04-13,REG02,technician_utilization,average,percent,88.36,87.65,87.96,0.71,yes,duplicate appointment event
2026-04-13,REG02,cost_per_work_order,weighted average,dollars,130.7,129.42,130.36,1.28,no,late arriving work order status
2026-04-20,REG02,completed_orders,sum,orders,3300,3303.06,3300.63,3.06,yes,technician reassignment
2026-04-20,REG02,first_visit_fix_rate,weighted average,percent,74.56,75.39,74.98,0.83,no,late arriving work order status
2026-04-20,REG02,repeat_visit_rate,weighted average,percent,13.72,12.28,13.23,1.44,no,missing cancellation filter
2026-04-20,REG02,on_time_arrival_rate,weighted average,percent,86.08,86.51,86.26,0.43,yes,duplicate appointment event
2026-04-20,REG02,technician_utilization,average,percent,91.64,91.64,91.76,0.01,yes,missing cancellation filter
2026-04-20,REG02,cost_per_work_order,weighted average,dollars,132.88,133.31,133.22,0.43,yes,missing cancellation filter
2026-04-27,REG02,completed_orders,sum,orders,3336,3336.17,3335.89,0.17,yes,timezone boundary
2026-04-27,REG02,first_visit_fix_rate,weighted average,percent,72.78,74.19,73.34,1.41,no,timezone boundary
2026-04-27,REG02,repeat_visit_rate,weighted average,percent,13.73,15.8,14.65,2.07,no,duplicate appointment event
2026-04-27,REG02,on_time_arrival_rate,weighted average,percent,83.6,83.08,83.2,0.53,yes,timezone boundary
2026-04-27,REG02,technician_utilization,average,percent,91.36,91.91,91.39,0.55,yes,technician reassignment
2026-04-27,REG02,cost_per_work_order,weighted average,dollars,131.63,132.61,131.84,0.98,yes,late arriving work order status
2026-05-04,REG02,completed_orders,sum,orders,3289,3289.01,3289.06,0.01,yes,duplicate appointment event
2026-05-04,REG02,first_visit_fix_rate,weighted average,percent,73.34,74.03,73.38,0.69,yes,late arriving work order status
2026-05-04,REG02,repeat_visit_rate,weighted average,percent,14.49,14.47,14.59,0.02,yes,missing cancellation filter
2026-05-04,REG02,on_time_arrival_rate,weighted average,percent,85.82,84.9,84.86,0.93,no,technician reassignment
2026-05-04,REG02,technician_utilization,average,percent,91.5,90.01,90.65,1.49,no,technician reassignment
2026-05-04,REG02,cost_per_work_order,weighted average,dollars,134.47,134.83,134.84,0.36,yes,duplicate appointment event
2026-01-05,REG03,completed_orders,sum,orders,3839,3838.91,3838.79,0.09,yes,timezone boundary
2026-01-05,REG03,first_visit_fix_rate,weighted average,percent,75.12,74.96,74.84,0.15,yes,missing cancellation filter
2026-01-05,REG03,repeat_visit_rate,weighted average,percent,14.0,13.99,14.0,0.01,yes,technician reassignment
2026-01-05,REG03,on_time_arrival_rate,weighted average,percent,84.67,83.35,84.33,1.32,no,technician reassignment
2026-01-05,REG03,technician_utilization,average,percent,89.19,90.36,89.93,1.18,no,duplicate appointment event
2026-01-05,REG03,cost_per_work_order,weighted average,dollars,138.79,138.8,138.68,0.01,yes,late arriving work order status
2026-01-12,REG03,completed_orders,sum,orders,3896,3896.11,3895.73,0.11,yes,late arriving work order status
2026-01-12,REG03,first_visit_fix_rate,weighted average,percent,75.87,76.42,76.15,0.55,yes,late arriving work order status
2026-01-12,REG03,repeat_visit_rate,weighted average,percent,14.88,14.91,14.88,0.03,yes,late arriving work order status
2026-01-12,REG03,on_time_arrival_rate,weighted average,percent,83.94,83.99,84.0,0.05,yes,timezone boundary
2026-01-12,REG03,technician_utilization,average,percent,89.37,89.38,89.16,0.01,yes,timezone boundary
2026-01-12,REG03,cost_per_work_order,weighted average,dollars,134.81,134.79,134.82,0.01,yes,duplicate appointment event
2026-01-19,REG03,completed_orders,sum,orders,3894,3894.04,3893.79,0.04,yes,timezone boundary
2026-01-19,REG03,first_visit_fix_rate,weighted average,percent,77.41,77.39,77.61,0.02,yes,missing cancellation filter
2026-01-19,REG03,repeat_visit_rate,weighted average,percent,12.52,10.94,11.63,1.58,no,late arriving work order status
2026-01-19,REG03,on_time_arrival_rate,weighted average,percent,85.47,87.6,86.17,2.14,no,timezone boundary
2026-01-19,REG03,technician_utilization,average,percent,90.63,90.05,89.95,0.58,yes,missing cancellation filter
2026-01-19,REG03,cost_per_work_order,weighted average,dollars,141.82,139.88,140.62,1.94,no,timezone boundary
2026-01-26,REG03,completed_orders,sum,orders,4096,4095.88,4096.11,0.12,yes,late arriving work order status
2026-01-26,REG03,first_visit_fix_rate,weighted average,percent,76.77,74.97,76.21,1.8,no,technician reassignment
2026-01-26,REG03,repeat_visit_rate,weighted average,percent,15.29,15.36,15.25,0.07,yes,late arriving work order status
2026-01-26,REG03,on_time_arrival_rate,weighted average,percent,82.93,84.6,83.61,1.67,no,late arriving work order status
2026-01-26,REG03,technician_utilization,average,percent,91.23,91.28,91.4,0.05,yes,technician reassignment
2026-01-26,REG03,cost_per_work_order,weighted average,dollars,139.93,140.95,140.36,1.02,yes,missing cancellation filter
2026-02-02,REG03,completed_orders,sum,orders,4061,4052.97,4058.4,8.03,no,missing cancellation filter
2026-02-02,REG03,first_visit_fix_rate,weighted average,percent,75.96,77.08,76.26,1.12,no,duplicate appointment event
2026-02-02,REG03,repeat_visit_rate,weighted average,percent,13.03,12.43,12.62,0.6,yes,timezone boundary
2026-02-02,REG03,on_time_arrival_rate,weighted average,percent,84.36,83.54,84.2,0.82,no,duplicate appointment event
2026-02-02,REG03,technician_utilization,average,percent,91.19,90.16,91.08,1.02,no,timezone boundary
2026-02-02,REG03,cost_per_work_order,weighted average,dollars,137.27,136.5,136.57,0.78,yes,late arriving work order status
2026-02-09,REG03,completed_orders,sum,orders,3926,3926.01,3926.04,0.01,yes,missing cancellation filter
2026-02-09,REG03,first_visit_fix_rate,weighted average,percent,75.27,74.99,75.09,0.28,yes,technician reassignment
2026-02-09,REG03,repeat_visit_rate,weighted average,percent,14.24,14.71,14.57,0.47,yes,timezone boundary
2026-02-09,REG03,on_time_arrival_rate,weighted average,percent,87.12,87.13,87.19,0.0,yes,missing cancellation filter
2026-02-09,REG03,technician_utilization,average,percent,90.99,91.02,90.65,0.03,yes,late arriving work order status
2026-02-09,REG03,cost_per_work_order,weighted average,dollars,140.51,141.66,141.05,1.15,yes,missing cancellation filter
2026-02-16,REG03,completed_orders,sum,orders,4010,4001.48,4005.41,8.52,no,late arriving work order status
2026-02-16,REG03,first_visit_fix_rate,weighted average,percent,75.83,75.8,75.63,0.03,yes,timezone boundary
2026-02-16,REG03,repeat_visit_rate,weighted average,percent,14.66,14.66,14.67,0.0,yes,technician reassignment
2026-02-16,REG03,on_time_arrival_rate,weighted average,percent,85.97,87.43,87.06,1.46,no,late arriving work order status
